               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 130,            0.018428,            0.010948,           0.0024045,             0.98022,                   1,               0.995,             0.84313,             0.02051,           0.0047427,           0.0018307,            0.005743,            0.005743,            0.005743
                 131,            0.021714,            0.010809,           0.0021214,             0.99476,                   1,               0.995,             0.82367,            0.017321,           0.0049381,            0.001591,             0.00571,             0.00571,             0.00571
                 132,            0.020596,            0.011339,            0.002109,             0.99701,                   1,               0.995,             0.81947,            0.020179,           0.0053962,           0.0015358,            0.005677,            0.005677,            0.005677
                 133,            0.023323,            0.010586,           0.0017803,             0.99352,                   1,               0.995,             0.81129,            0.017111,           0.0052529,            0.001488,            0.005644,            0.005644,            0.005644
                 134,            0.019575,            0.012835,           0.0019457,             0.98976,                   1,               0.995,              0.8121,            0.019777,           0.0050676,           0.0014668,            0.005611,            0.005611,            0.005611
                 135,            0.018975,            0.010489,           0.0024386,             0.98699,                   1,               0.995,             0.82637,            0.014543,           0.0048807,           0.0015787,            0.005578,            0.005578,            0.005578
                 136,              0.0193,            0.011765,           0.0019308,             0.98716,                   1,               0.995,              0.8352,            0.019219,           0.0050867,           0.0016754,            0.005545,            0.005545,            0.005545
                 137,            0.022153,            0.011341,           0.0050709,             0.96191,             0.99999,               0.995,             0.81201,            0.018436,            0.004903,           0.0024401,            0.005512,            0.005512,            0.005512
                 138,            0.019483,            0.013269,           0.0017196,             0.93068,             0.99994,               0.995,             0.83215,            0.018906,           0.0048816,           0.0029413,            0.005479,            0.005479,            0.005479
                 139,             0.01808,            0.010512,           0.0024145,             0.98386,                   1,               0.995,             0.82227,            0.017144,           0.0047713,           0.0022144,            0.005446,            0.005446,            0.005446
                 140,            0.018639,            0.012182,           0.0022527,             0.98421,                   1,               0.995,             0.84869,            0.018262,           0.0050844,           0.0020995,            0.005413,            0.005413,            0.005413
                 141,            0.020314,            0.010659,           0.0021775,              0.9855,                   1,               0.995,             0.78953,            0.017353,           0.0052269,            0.002095,             0.00538,             0.00538,             0.00538
                 142,            0.018327,            0.011214,           0.0028494,             0.98426,                   1,               0.995,              0.8171,            0.017079,           0.0054485,           0.0022296,            0.005347,            0.005347,            0.005347
                 143,            0.017931,             0.01129,           0.0023631,             0.96042,             0.99979,               0.995,             0.82574,            0.015519,           0.0049662,           0.0026853,            0.005314,            0.005314,            0.005314
                 144,            0.019232,             0.01037,           0.0019083,             0.99227,             0.96438,               0.995,             0.84435,            0.017752,           0.0051334,           0.0028981,            0.005281,            0.005281,            0.005281
                 145,            0.022766,            0.011781,            0.001641,             0.98773,             0.96433,               0.995,             0.78784,            0.018157,           0.0051255,           0.0034525,            0.005248,            0.005248,            0.005248
                 146,            0.020167,            0.010704,           0.0030121,             0.99107,             0.96431,               0.995,             0.85249,            0.015553,           0.0049296,           0.0030729,            0.005215,            0.005215,            0.005215
                 147,            0.017673,            0.010444,           0.0023211,              0.9779,             0.98054,               0.995,             0.84868,             0.01399,           0.0048889,           0.0019969,            0.005182,            0.005182,            0.005182
                 148,            0.015192,            0.010699,           0.0016639,             0.97073,             0.99996,               0.995,             0.85418,             0.01468,           0.0047931,           0.0018191,            0.005149,            0.005149,            0.005149
                 149,            0.017093,            0.010967,           0.0019464,             0.97851,                   1,               0.995,             0.87346,            0.015107,           0.0046936,           0.0018054,            0.005116,            0.005116,            0.005116
                 150,            0.017188,            0.011996,           0.0018586,             0.96505,                   1,               0.995,              0.8431,            0.015913,           0.0046805,           0.0017458,            0.005083,            0.005083,            0.005083
                 151,            0.018228,            0.010253,           0.0021541,             0.97203,             0.99987,               0.995,              0.8794,            0.013849,           0.0044654,           0.0015619,             0.00505,             0.00505,             0.00505
                 152,            0.016842,            0.011733,           0.0016227,             0.97017,             0.99984,               0.995,             0.81334,            0.017956,           0.0049764,           0.0015931,            0.005017,            0.005017,            0.005017
